GENDER,AGE,AGE_GROUP,INVESTMENT,INCOME,ACTIVITY, YRLY_AMT,AVG_DAILY_TX,YRLY_TX,AVG_TX_AMT,NEGTWEETS,STATE,EDUCATION,label
M,52,Above 50,0,32096,1,12742.80,0.67,244,52.22,2,MN,High school graduate,0
M,42,41-50,0,32088,1,12335.40,0.66,240,51.40,2,AZ,High school graduate,0
F,45,41-50,0,32073,2,13627.00,0.70,256,53.23,3,VA,High school graduate,0
M,26,20-30,14548,32050,3,13477.80,0.70,256,52.65,4,IL,Associate degree,0
M,50,,0,32039,1,12517.40,0.65,238,52.59,10,CA,Associate degree,1
F,51,Above 50,0,32038,2,12589.80,0.65,239,52.68,2,DE,High school graduate,0
F,44,41-50,0,32013,1,13810.70,0.71,258,53.53,10,PA,High school graduate,1
F,38,31-40,0,31999,3,12787.80,0.66,240,53.28,3,VT,Associate degree,0
M,74,Above 50,7084,31997,5,12828.00,0.66,241,53.23,1,NJ,Associate degree,0
F,32,31-40,0,31968,1,13632.80,0.70,256,53.25,12,ID,Associate degree,1
F,77,Above 50,0,31964,3,12803.40,0.67,243,52.69,1,ID,High school graduate,0
F,75,Above 50,12201,31959,5,12341.60,0.66,240,51.42,3,WY,Associate degree,0
F,67,Above 50,0,31944,3,12761.00,0.66,242,52.73,4,NH,High school graduate,0
F,52,Above 50,0,31944,1,12523.70,0.66,242,51.75,4,MT,High school graduate,0
F,50,,0,31923,4,12287.40,0.65,239,51.41,4,AR,High school graduate,0
F,47,41-50,0,31921,2,12424.70,0.65,237,52.42,2,MA,Associate degree,0
M,74,Above 50,0,31920,1,12506.50,0.66,241,51.89,2,ND,High school graduate,0
M,31,31-40,0,31915,3,13545.50,0.70,254,53.33,2,NY,High school graduate,0
F,44,41-50,0,31905,1,13635.00,0.71,258,52.85,11,CA,High school graduate,1
M,40,31-40,14396,31898,1,12661.00,0.66,240,52.75,4,NM,Associate degree,0
F,21,20-30,0,31855,2,12412.40,0.66,240,51.72,11,MD,High school graduate,1
M,41,,0,31838,3,13645.20,0.70,256,53.30,4,IA,High school graduate,0
F,48,41-50,0,31832,3,12600.80,0.65,239,52.72,10,ID,High school graduate,1
F,27,20-30,5262,31792,2,12848.30,0.66,240,53.53,8,NJ,Associate degree,0
F,81,Above 50,0,31790,2,13431.60,0.69,251,53.51,3,CT,High school graduate,0
M,27,20-30,0,31779,1,12435.50,0.66,240,51.81,13,OR,High school graduate,1
F,37,31-40,13732,31777,4,13848.80,0.70,256,54.10,4,MI,Associate degree,0
F,43,41-50,0,31772,2,12364.30,0.65,239,51.73,4,OH,High school graduate,0
M,36,31-40,0,31768,4,12427.30,0.66,240,51.78,3,ME,High school graduate,0
F,68,Above 50,0,31742,2,12627.80,0.65,239,52.84,2,IA,Associate degree,0
F,38,31-40,0,31735,0,12745.90,0.67,244,52.24,10,ID,Associate degree,1
F,62,Above 50,0,31728,1,12212.60,0.66,242,50.47,3,AL,High school graduate,0
F,65,Above 50,0,31727,0,12335.10,0.66,240,51.40,15,OR,High school graduate,1
M,30,20-30,0,31698,4,12351.30,0.66,242,51.04,5,UT,Associate degree,0
M,69,Above 50,0,31656,2,13443.00,0.70,255,52.72,11,ND,High school graduate,1
F,25,20-30,0,31652,2,12231.60,0.65,239,51.18,5,LA,High school graduate,0
F,33,31-40,0,31647,0,13924.60,0.70,255,54.61,8,ID,High school graduate,1
M,24,20-30,0,31646,1,14032.30,0.70,257,54.60,5,MD,High school graduate,0
M,59,Above 50,0,31646,0,12100.30,0.65,238,50.84,3,NJ,Associate degree,0
F,39,31-40,0,31615,3,12698.50,0.66,242,52.47,11,PA,High school graduate,1
F,41,,7067,31613,0,13558.10,0.71,258,52.55,7,WA,Associate degree,1
F,81,Above 50,0,31607,0,13634.50,0.69,253,53.89,2,IN,High school graduate,0
F,41,,0,31601,2,12549.70,0.66,241,52.07,4,TX,High school graduate,0
F,32,31-40,0,31586,4,12707.40,0.66,242,52.51,2,DC,Associate degree,0
M,78,Above 50,0,31576,2,13504.10,0.69,253,53.38,2,NJ,High school graduate,0
F,37,31-40,0,31576,3,12927.30,0.66,240,53.86,1,ID,High school graduate,0
M,72,Above 50,7457,31549,0,12394.10,0.66,242,51.22,8,OR,Associate degree,1
M,51,Above 50,14085,31547,4,12462.00,0.66,241,51.71,2,AL,Bachelors degree,0
M,38,31-40,0,31539,2,12365.20,0.66,241,51.31,5,MO,Associate degree,0
M,59,Above 50,0,31535,2,13177.40,0.70,254,51.88,10,PA,Associate degree,1
M,73,Above 50,0,31532,2,12098.00,0.67,244,49.58,1,MI,High school graduate,0
F,24,20-30,0,31490,0,12473.50,0.65,239,52.19,15,PA,Associate degree,1
M,46,41-50,0,31482,0,13548.60,0.70,257,52.72,6,ID,Associate degree,1
M,71,Above 50,0,31451,2,12525.40,0.67,245,51.12,12,OR,Associate degree,1
M,37,31-40,0,31441,2,12754.10,0.66,242,52.70,2,WY,Associate degree,0
F,54,Above 50,0,31390,0,12264.40,0.66,241,50.89,4,VT,High school graduate,0
F,78,Above 50,7415,31378,5,12333.10,0.66,241,51.17,4,TN,Bachelors degree,0
M,53,Above 50,0,31374,4,12241.30,0.67,243,50.38,4,AZ,High school graduate,0
M,34,31-40,0,31363,1,13352.90,0.69,252,52.99,3,WA,Associate degree,0
M,69,Above 50,0,31361,0,13457.50,0.70,255,52.77,3,NC,High school graduate,0
F,50,,0,31351,1,12503.40,0.67,245,51.03,2,AK,High school graduate,0
F,62,Above 50,5420,31334,2,12298.40,0.66,242,50.82,3,IL,Bachelors degree,0
M,49,41-50,0,31328,5,12255.60,0.66,240,51.07,3,CA,High school graduate,0
M,41,,0,31323,4,13557.30,0.70,254,53.38,4,NM,High school graduate,0
F,47,41-50,9029,31279,5,13279.50,0.69,252,52.70,3,MS,Associate degree,0
F,40,31-40,0,31265,2,12545.50,0.66,242,51.84,11,ND,Associate degree,1
F,72,Above 50,0,31264,0,11934.40,0.66,240,49.73,12,WA,High school graduate,1
F,48,41-50,0,31255,2,13695.70,0.70,256,53.50,2,WY,High school graduate,0
M,47,41-50,5246,31240,5,13742.50,0.70,255,53.89,3,AR,Associate degree,0
F,26,20-30,0,31231,1,12315.10,0.66,242,50.89,8,WA,High school graduate,1
M,30,20-30,11423,31203,2,12319.50,0.67,243,50.70,3,SC,Associate degree,0
M,20,20-30,8765,31195,4,12047.80,0.66,240,50.20,9,MI,Bachelors degree,1
M,30,20-30,8261,31194,5,14052.50,0.71,259,54.26,3,SC,Bachelors degree,0
F,45,41-50,13635,31180,2,12049.90,0.67,244,49.38,5,MD,Associate degree,1
M,85,Above 50,0,31165,1,12648.50,0.67,245,51.63,4,ME,Associate degree,0
M,33,31-40,0,31081,2,12202.90,0.66,240,50.85,3,MT,High school graduate,0
M,38,31-40,0,31061,4,12464.20,0.67,244,51.08,2,SD,High school graduate,0
M,51,Above 50,0,31054,2,12303.10,0.67,243,50.63,4,WV,Associate degree,0
M,80,Above 50,0,31043,5,12077.40,0.65,239,50.53,4,IL,Associate degree,0
F,50,,0,31009,3,12460.90,0.66,242,51.49,1,WY,High school graduate,0
F,28,20-30,0,31003,4,12042.10,0.66,240,50.18,8,WA,High school graduate,1
M,28,20-30,0,30996,1,12439.50,0.65,237,52.49,10,PA,High school graduate,1
M,31,31-40,0,30995,1,12356.90,0.67,244,50.64,3,WI,High school graduate,0
F,37,31-40,0,30989,2,12418.60,0.67,243,51.11,3,AR,High school graduate,0
M,56,Above 50,0,30982,3,13577.10,0.70,256,53.04,5,MO,High school graduate,0
M,48,41-50,7172,30952,1,12222.30,0.66,240,50.93,1,OK,Bachelors degree,0
M,60,Above 50,14355,30949,2,12226.30,0.65,239,51.16,3,OK,Associate degree,0
F,51,Above 50,0,30944,2,12470.90,0.66,242,51.53,11,MI,High school graduate,1
M,52,Above 50,0,30943,2,12345.80,0.66,242,51.02,2,WY,High school graduate,0
F,64,Above 50,0,30939,1,13520.40,0.70,254,53.23,3,WY,High school graduate,0
F,80,Above 50,0,30922,1,13285.20,0.70,254,52.30,15,WA,High school graduate,1
M,47,41-50,0,30918,3,12237.40,0.66,240,50.99,3,MI,High school graduate,0
F,43,41-50,0,30916,0,11922.50,0.66,241,49.47,12,ND,Associate degree,1
M,78,Above 50,0,30902,1,12070.90,0.66,240,50.30,3,SC,High school graduate,0
M,54,Above 50,0,30888,3,12496.10,0.66,242,51.64,9,ND,Associate degree,1
F,42,41-50,0,30886,3,12072.50,0.65,238,50.72,4,KY,Associate degree,0
M,40,31-40,0,30883,2,12514.90,0.67,244,51.29,3,MN,Associate degree,0
M,71,Above 50,0,30875,2,13268.20,0.69,251,52.86,10,PA,High school graduate,1
F,78,Above 50,12007,30858,2,12119.70,0.65,239,50.71,2,KY,Associate degree,0
M,75,Above 50,11698,30852,5,12426.90,0.67,243,51.14,2,NM,Associate degree,0
F,66,Above 50,12678,30844,1,12321.20,0.65,239,51.55,3,IA,Associate degree,0
M,31,31-40,10850,30826,3,12101.80,0.66,241,50.21,9,MD,Bachelors degree,1
M,56,Above 50,0,30816,5,13219.30,0.69,252,52.46,2,TX,Associate degree,0
M,41,,14070,30814,4,11941.10,0.66,242,49.34,3,PA,Associate degree,0
M,43,41-50,0,30808,3,13105.60,0.69,252,52.01,2,KY,Associate degree,0
M,38,31-40,0,30804,1,12187.70,0.65,238,51.21,8,WA,High school graduate,1
M,35,31-40,0,30783,3,12236.90,0.67,244,50.15,3,CT,High school graduate,0
M,24,20-30,0,30774,2,13642.90,0.70,257,53.09,6,ID,High school graduate,1
M,56,Above 50,0,30762,5,12220.10,0.66,241,50.71,3,LA,High school graduate,0
M,25,20-30,8439,30757,0,13641.30,0.69,252,54.13,14,OR,Bachelors degree,1
F,56,Above 50,0,30730,2,12111.40,0.65,238,50.89,13,ND,High school graduate,1
F,67,Above 50,0,30724,4,12985.70,0.69,252,51.53,4,OH,High school graduate,0
M,28,20-30,7087,30675,2,12324.80,0.67,243,50.72,3,WI,Associate degree,0
M,72,Above 50,0,30657,3,12602.70,0.67,246,51.23,11,MI,Associate degree,1
F,35,31-40,6515,30600,2,13010.10,0.69,253,51.42,3,CA,Associate degree,0
F,59,Above 50,8055,30596,2,12076.20,0.65,239,50.53,5,MD,Associate degree,0
M,48,41-50,0,30564,0,12012.40,0.65,238,50.47,2,AL,High school graduate,0
F,45,41-50,0,30522,4,11997.20,0.67,243,49.37,1,CT,High school graduate,0
F,51,Above 50,0,30506,1,12161.60,0.65,239,50.89,5,RI,High school graduate,0
M,33,31-40,0,30487,0,12477.60,0.66,241,51.77,9,OR,High school graduate,1
M,25,20-30,14130,30486,5,12045.10,0.66,241,49.98,2,WA,Associate degree,0
F,25,20-30,14958,30477,4,11980.20,0.65,239,50.13,1,CT,Associate degree,0
M,32,31-40,0,30452,2,12157.50,0.66,241,50.45,3,NC,High school graduate,0
M,40,31-40,0,30449,2,12196.80,0.66,242,50.40,3,OH,High school graduate,0
M,32,31-40,0,30445,1,12465.20,0.66,242,51.51,16,ID,High school graduate,1
F,28,20-30,0,30430,0,11665.60,0.65,238,49.02,4,LA,High school graduate,0
F,56,Above 50,0,30421,4,11747.00,0.65,237,49.57,2,DE,High school graduate,0
M,55,Above 50,0,30413,2,11818.50,0.65,238,49.66,2,TN,High school graduate,0
M,79,Above 50,0,30384,4,12267.10,0.66,241,50.90,3,AZ,High school graduate,0
F,79,Above 50,0,30383,3,12360.00,0.66,241,51.29,2,TX,Associate degree,0
M,51,Above 50,0,30374,3,12029.20,0.65,239,50.33,4,IL,Associate degree,0
M,49,41-50,0,30369,2,13292.80,0.70,255,52.13,3,TX,High school graduate,0
F,25,20-30,0,30303,1,11954.80,0.65,239,50.02,11,MI,High school graduate,1
M,43,41-50,13756,30292,1,12026.50,0.65,239,50.32,18,PA,Bachelors degree,1
F,44,41-50,0,30272,2,13151.50,0.69,251,52.40,2,VT,High school graduate,0
F,43,41-50,0,30254,0,13315.60,0.70,254,52.42,3,AZ,High school graduate,0
F,38,31-40,0,30247,2,12116.40,0.66,242,50.07,2,CO,High school graduate,0
M,31,31-40,6618,30240,4,13540.10,0.70,256,52.89,2,ND,Associate degree,0
F,30,20-30,0,30234,5,12217.80,0.66,241,50.70,12,CA,Associate degree,1
F,44,41-50,0,30234,2,12078.60,0.66,242,49.91,9,MD,High school graduate,1
F,37,31-40,0,30218,2,11581.10,0.65,239,48.46,3,OH,Associate degree,0
F,42,41-50,0,30209,0,12289.50,0.65,239,51.42,6,OR,High school graduate,1
M,61,Above 50,0,30203,1,12787.00,0.69,253,50.54,1,MA,High school graduate,0
M,89,Above 50,0,30158,2,12064.00,0.67,246,49.04,3,MD,High school graduate,0
F,78,Above 50,0,30150,1,11925.80,0.66,242,49.28,8,PA,High school graduate,1
M,38,31-40,5027,30147,2,11968.00,0.66,242,49.45,2,DE,Associate degree,0
F,43,41-50,0,30144,4,12424.60,0.66,240,51.77,4,FL,High school graduate,0
M,31,31-40,0,30139,0,12174.70,0.67,243,50.10,7,PA,High school graduate,1
M,66,Above 50,0,30137,2,11587.10,0.66,241,48.08,4,DE,Associate degree,0
M,44,41-50,6823,30135,2,12169.80,0.66,242,50.29,3,SD,Associate degree,0
F,76,Above 50,0,30133,3,13063.50,0.69,251,52.05,3,WY,Associate degree,0
M,26,20-30,0,30118,2,11869.10,0.66,241,49.25,8,ND,High school graduate,1
M,53,Above 50,0,30095,0,12021.80,0.66,241,49.88,3,MT,Associate degree,0
F,33,31-40,0,30082,1,13071.90,0.70,256,51.06,3,WI,High school graduate,0
F,50,,0,30067,1,12071.90,0.66,242,49.88,4,AK,Associate degree,0
M,26,20-30,0,30060,0,11742.60,0.66,241,48.72,12,MD,Associate degree,1
M,63,Above 50,0,30059,2,12005.00,0.66,242,49.61,5,IL,High school graduate,0
F,42,41-50,0,29989,5,12077.20,0.65,238,50.74,2,AL,High school graduate,0
M,48,41-50,0,29969,2,11868.80,0.66,241,49.25,2,MS,High school graduate,0
M,37,31-40,0,29935,2,12711.10,0.70,255,49.85,4,FL,Associate degree,0
M,80,Above 50,0,29910,2,12214.90,0.66,242,50.47,4,MD,High school graduate,0
M,69,Above 50,0,29909,0,13186.30,0.71,258,51.11,5,GA,High school graduate,0
F,41,,6718,29900,3,11740.10,0.66,242,48.51,5,TX,Associate degree,0
F,84,Above 50,0,29894,3,12141.70,0.66,241,50.38,5,IA,High school graduate,0
M,45,41-50,0,29792,1,11616.50,0.67,243,47.80,6,OR,High school graduate,1
M,48,41-50,0,29789,1,12312.40,0.67,244,50.46,6,NH,High school graduate,0
F,36,31-40,0,29779,1,11990.80,0.66,241,49.75,3,WI,High school graduate,0
F,68,Above 50,7881,29757,5,13363.90,0.71,260,51.40,4,MO,Associate degree,0
F,78,Above 50,13724,29754,3,13311.10,0.69,252,52.82,4,WI,Bachelors degree,0
F,41,,0,29742,4,12809.80,0.69,253,50.63,4,NC,High school graduate,0
M,79,Above 50,0,29741,2,13066.00,0.70,255,51.24,3,AR,High school graduate,0
M,47,41-50,0,29720,2,12965.20,0.70,255,50.84,1,TX,High school graduate,0
M,42,41-50,0,29716,1,12288.20,0.66,242,50.78,2,NJ,High school graduate,0
F,64,Above 50,0,29707,2,11816.10,0.67,243,48.63,5,MA,High school graduate,0
M,77,Above 50,12156,29698,4,11911.30,0.67,243,49.02,4,GA,Bachelors degree,0
F,56,Above 50,0,29677,4,11864.90,0.67,243,48.83,2,OK,High school graduate,0
F,49,41-50,0,29631,2,12525.10,0.70,255,49.12,4,NJ,High school graduate,0
F,47,41-50,0,29597,1,11732.50,0.66,241,48.68,11,OR,High school graduate,1
F,39,31-40,0,29597,0,11393.10,0.66,240,47.47,2,WV,Associate degree,0
F,36,31-40,0,29593,2,12766.40,0.70,257,49.67,10,ID,Associate degree,1
M,39,31-40,0,29575,2,12093.20,0.66,240,50.39,3,CA,High school graduate,0
M,26,20-30,0,29555,2,11686.50,0.66,241,48.49,8,MD,High school graduate,1
F,68,Above 50,0,29543,1,11859.70,0.66,241,49.21,4,MT,Associate degree,0
F,76,Above 50,11140,29534,2,13030.20,0.69,253,51.50,11,OR,Associate degree,1
F,59,Above 50,7695,29437,1,11734.30,0.66,242,48.49,3,SD,Associate degree,0
F,23,20-30,11783,29416,3,11675.90,0.65,239,48.85,6,PA,Bachelors degree,1
F,58,Above 50,0,29411,0,12642.00,0.70,254,49.77,6,ID,Associate degree,1
M,26,20-30,0,29406,5,12185.40,0.66,240,50.77,8,RI,High school graduate,0
M,27,20-30,0,29404,2,13145.40,0.71,259,50.75,11,WA,Associate degree,1
M,65,Above 50,5790,29400,1,11614.70,0.66,240,48.39,3,AK,Associate degree,0
F,49,41-50,0,29381,4,13211.70,0.71,259,51.01,4,NC,High school graduate,0
M,54,Above 50,0,29378,1,12248.00,0.65,239,51.25,4,UT,Associate degree,0
M,58,Above 50,0,29376,1,11623.30,0.67,244,47.64,3,WA,High school graduate,0
F,80,Above 50,0,29354,0,11644.10,0.66,240,48.52,10,MI,Associate degree,1
M,58,Above 50,0,29325,2,11814.20,0.66,240,49.23,3,WI,Associate degree,0
F,47,41-50,0,29325,1,11874.00,0.66,241,49.27,2,ME,High school graduate,0
M,64,Above 50,0,29303,2,11550.20,0.65,238,48.53,1,VT,Associate degree,0
M,28,20-30,12074,29240,1,12721.10,0.70,255,49.89,10,MI,Bachelors degree,1
F,69,Above 50,7314,29231,1,13067.90,0.69,253,51.65,6,ID,Bachelors degree,1
M,32,31-40,0,29220,0,11814.50,0.66,241,49.02,12,ND,Associate degree,1
M,64,Above 50,0,29216,3,11996.80,0.67,243,49.37,4,MO,High school graduate,0
F,31,31-40,0,29202,2,12763.90,0.70,256,49.86,2,MD,High school graduate,0
M,32,31-40,0,29194,4,11482.00,0.66,240,47.84,3,CA,High school graduate,0
M,74,Above 50,0,29183,1,12983.80,0.70,255,50.92,9,PA,High school graduate,1
F,21,20-30,0,29177,5,12021.50,0.67,244,49.27,4,OK,High school graduate,0
M,86,Above 50,0,29172,1,11755.70,0.65,239,49.19,5,GA,High school graduate,0
M,49,41-50,14670,29155,0,12749.90,0.69,252,50.59,3,MS,Bachelors degree,0
F,43,41-50,0,29106,1,12569.40,0.69,253,49.68,7,ND,Associate degree,1
F,77,Above 50,0,29101,5,11290.70,0.65,237,47.64,3,MD,High school graduate,0
M,62,Above 50,0,29071,4,11787.80,0.67,243,48.51,3,VT,High school graduate,0
M,44,41-50,0,29064,3,12962.50,0.70,255,50.83,3,SC,Associate degree,0
M,62,Above 50,0,29051,1,11364.90,0.65,238,47.75,14,ND,Associate degree,1
F,51,Above 50,0,29043,4,11986.60,0.67,245,48.92,3,FL,High school graduate,0
M,74,Above 50,0,28963,5,11449.90,0.65,238,48.11,3,TX,Associate degree,0
M,52,Above 50,0,28958,4,12451.70,0.69,252,49.41,4,OK,High school graduate,0
M,80,Above 50,0,28946,3,11655.70,0.66,240,48.57,1,NV,Associate degree,0
M,47,41-50,0,28938,3,11826.10,0.67,243,48.67,11,PA,High school graduate,1
M,71,Above 50,0,28909,3,11639.80,0.66,242,48.10,5,AL,High school graduate,0
F,41,,0,28909,3,11865.20,0.66,242,49.03,4,NE,Associate degree,0
F,23,20-30,0,28903,0,11683.90,0.65,239,48.89,7,ID,High school graduate,1
F,44,41-50,0,28902,2,11680.30,0.67,244,47.87,1,OK,High school graduate,0
M,35,31-40,0,28888,2,11797.50,0.66,242,48.75,4,AZ,Associate degree,0
F,68,Above 50,0,28865,4,11874.30,0.66,241,49.27,5,OK,High school graduate,0
F,71,Above 50,13727,28843,4,11713.80,0.66,241,48.60,4,OK,Associate degree,0
M,52,Above 50,9674,28840,2,13067.90,0.70,255,51.25,3,NM,Associate degree,0
F,25,20-30,0,28834,2,11540.70,0.66,242,47.69,14,PA,High school graduate,1
F,40,31-40,0,28825,2,11737.20,0.67,243,48.30,4,TN,High school graduate,0
M,45,41-50,0,28818,2,11435.60,0.67,243,47.06,2,WI,High school graduate,0
F,20,20-30,0,28815,2,13063.20,0.71,258,50.63,15,CA,High school graduate,1
F,23,20-30,0,28777,1,12492.10,0.69,252,49.57,4,AL,High school graduate,0
F,29,20-30,0,28776,2,11506.40,0.66,242,47.55,7,PA,High school graduate,1
F,57,Above 50,0,28771,0,12628.70,0.70,255,49.52,3,TX,Associate degree,0
F,53,Above 50,0,28770,2,11599.50,0.66,241,48.13,2,WV,High school graduate,0
M,51,Above 50,0,28736,1,11383.20,0.66,241,47.23,4,OR,High school graduate,0
M,58,Above 50,0,28700,5,12675.80,0.70,257,49.32,3,IL,High school graduate,0
F,83,Above 50,7954,28669,0,13030.60,0.70,255,51.10,12,MD,Associate degree,1
M,31,31-40,9892,28665,3,12145.40,0.70,255,47.63,3,IA,Bachelors degree,0
F,42,41-50,0,28661,2,11495.80,0.67,245,46.92,4,CO,Associate degree,0
F,37,31-40,0,28647,0,11896.60,0.66,242,49.16,8,MI,High school graduate,1
F,33,31-40,11244,28622,5,11401.80,0.66,242,47.11,3,NM,Bachelors degree,0
M,60,Above 50,0,28614,5,12855.50,0.70,255,50.41,3,KY,Associate degree,0
M,54,Above 50,12457,28588,2,11695.00,0.67,243,48.13,2,FL,Associate degree,0
M,53,Above 50,7223,28577,3,12879.60,0.70,254,50.71,3,VA,Associate degree,0
M,30,20-30,12831,28576,2,11633.10,0.66,241,48.27,2,VA,Associate degree,0
F,58,Above 50,0,28566,2,12611.70,0.70,257,49.07,1,NE,High school graduate,0
M,35,31-40,0,28545,5,11509.20,0.65,239,48.16,4,MA,Associate degree,0
M,35,31-40,0,28537,3,12095.30,0.69,251,48.19,3,NJ,High school graduate,0
F,36,31-40,0,28529,2,12231.60,0.70,256,47.78,4,MA,High school graduate,0
M,48,41-50,0,28528,4,11497.90,0.66,240,47.91,4,LA,High school graduate,0
F,44,41-50,0,28522,4,11724.40,0.66,241,48.65,4,MA,High school graduate,0
F,54,Above 50,0,28515,5,10929.00,0.65,239,45.73,3,MS,High school graduate,0
M,37,31-40,0,28513,0,12219.20,0.70,254,48.11,3,CO,High school graduate,0
M,60,Above 50,0,28510,1,12660.90,0.68,250,50.64,2,VA,High school graduate,0
F,39,31-40,0,28502,1,11423.50,0.66,242,47.20,9,OR,High school graduate,1
M,64,Above 50,0,28486,1,11609.90,0.66,242,47.97,5,CA,High school graduate,1
F,43,41-50,8635,28479,0,12454.40,0.70,256,48.65,2,AK,Associate degree,0
F,68,Above 50,0,28470,0,11432.00,0.67,244,46.85,2,PA,High school graduate,0
F,72,Above 50,0,28466,3,11606.40,0.67,244,47.57,3,UT,High school graduate,0
F,27,20-30,0,28438,5,11309.80,0.65,239,47.32,2,WI,Associate degree,0
F,61,Above 50,6757,28425,1,12660.80,0.69,252,50.24,4,WY,Associate degree,0
M,30,20-30,0,28400,0,11601.10,0.67,245,47.35,5,OR,High school graduate,1
M,44,41-50,0,28391,4,11495.80,0.67,243,47.31,5,CA,Associate degree,0
M,59,Above 50,0,28380,2,11295.10,0.67,244,46.29,4,NV,Associate degree,0
F,29,20-30,0,28346,2,11531.10,0.67,244,47.26,4,WY,Associate degree,0
F,55,Above 50,0,28344,1,11555.50,0.66,241,47.95,5,VA,High school graduate,0
F,51,Above 50,0,28326,1,11353.70,0.67,243,46.72,8,OR,High school graduate,1
M,73,Above 50,0,28320,2,12640.70,0.70,255,49.57,2,UT,Associate degree,0
M,51,Above 50,5138,28311,3,11686.90,0.66,241,48.49,3,MA,Associate degree,0
F,51,Above 50,0,28295,1,11195.80,0.65,238,47.04,11,WA,High school graduate,1
M,55,Above 50,0,28256,3,11338.10,0.65,239,47.44,11,PA,Associate degree,1
F,29,20-30,0,28234,1,12638.80,0.70,257,49.18,11,MD,High school graduate,1
F,40,31-40,0,28225,2,12256.50,0.69,252,48.64,3,WY,High school graduate,0
F,47,41-50,0,28206,5,11371.80,0.66,242,46.99,2,IL,Associate degree,0
F,64,Above 50,0,28193,2,11573.80,0.66,241,48.02,11,MD,High school graduate,1
M,56,Above 50,0,28189,2,11364.50,0.65,239,47.55,8,MD,High school graduate,1
M,65,Above 50,0,28168,1,11324.90,0.66,241,46.99,11,OR,High school graduate,1
F,53,Above 50,8886,28160,0,11663.10,0.66,242,48.19,3,AZ,Associate degree,0
M,25,20-30,13659,28146,4,12317.50,0.70,255,48.30,4,IA,Associate degree,0
M,34,31-40,0,28116,2,11132.60,0.65,238,46.78,2,NC,High school graduate,0
F,22,20-30,8405,28084,3,11655.90,0.66,241,48.36,2,IN,Associate degree,0
F,46,41-50,0,28067,4,12117.10,0.69,252,48.08,1,WV,High school graduate,0
F,24,20-30,6802,28063,3,11437.10,0.66,241,47.46,13,MI,Bachelors degree,1
F,69,Above 50,12119,28034,1,12461.10,0.70,255,48.87,4,FL,Bachelors degree,0
F,36,31-40,0,28033,1,11144.60,0.66,241,46.24,11,ID,High school graduate,1
F,30,20-30,0,27968,2,11344.40,0.66,242,46.88,12,MD,High school graduate,1
F,54,Above 50,8082,27942,2,12580.90,0.70,257,48.95,9,PA,Associate degree,1
M,35,31-40,0,27921,5,12528.90,0.70,255,49.13,2,AZ,Associate degree,0
F,50,,0,27910,4,12639.30,0.70,257,49.18,2,NJ,High school graduate,0
F,23,20-30,0,27906,0,11358.70,0.65,239,47.53,11,ND,High school graduate,1
M,72,Above 50,14498,27892,3,11223.70,0.67,243,46.19,2,IN,Associate degree,0
M,38,31-40,13897,27875,2,11367.20,0.66,241,47.17,2,MS,Associate degree,0
M,51,Above 50,0,27859,1,11415.70,0.66,241,47.37,11,MD,High school graduate,1
F,56,Above 50,0,27853,3,11184.00,0.65,239,46.80,4,NC,High school graduate,0
M,52,Above 50,10063,27843,0,11239.60,0.66,240,46.83,1,VT,Associate degree,0
M,55,Above 50,0,27813,1,11319.70,0.67,244,46.39,3,NM,High school graduate,0
F,89,Above 50,0,27804,3,12221.00,0.70,254,48.11,3,WV,High school graduate,0
M,57,Above 50,0,27778,0,12059.80,0.70,255,47.29,3,KS,High school graduate,0
F,54,Above 50,5478,27766,2,11710.30,0.66,242,48.39,1,UT,Associate degree,0
F,67,Above 50,0,27740,3,11114.00,0.65,238,46.70,16,ND,High school graduate,1
M,56,Above 50,0,27732,4,11082.90,0.66,242,45.80,2,VA,High school graduate,0
F,52,Above 50,0,27726,0,11121.50,0.67,243,45.77,3,WY,High school graduate,0
M,69,Above 50,0,27715,1,12299.60,0.70,255,48.23,3,NM,High school graduate,0
M,27,20-30,0,27666,0,11182.60,0.66,242,46.21,13,OR,Associate degree,1
F,71,Above 50,0,27655,0,12394.20,0.70,254,48.80,1,PA,Associate degree,0
M,66,Above 50,10890,27653,1,12363.30,0.68,250,49.45,5,AK,Bachelors degree,0
F,52,Above 50,0,27653,4,11467.80,0.67,243,47.19,3,CT,Associate degree,0
M,42,41-50,12652,27648,3,10931.50,0.65,239,45.74,4,MS,Associate degree,0
M,59,Above 50,0,27641,2,11486.70,0.67,244,47.08,3,NC,High school graduate,0
M,43,41-50,0,27638,1,12314.80,0.70,255,48.29,3,GA,Associate degree,0
M,42,41-50,11631,27628,2,11283.60,0.66,241,46.82,2,SD,Associate degree,0
F,32,31-40,11079,27618,1,11192.80,0.66,241,46.44,12,CA,Bachelors degree,1
M,41,,0,27615,1,11134.70,0.66,240,46.39,11,PA,High school graduate,1
F,51,Above 50,9302,27601,3,11197.10,0.66,240,46.65,3,WA,Bachelors degree,0
F,48,41-50,0,27592,3,11216.60,0.67,243,46.16,3,NJ,High school graduate,0
M,80,Above 50,0,27511,1,11228.30,0.66,241,46.59,4,ND,Associate degree,0
M,26,20-30,0,27501,2,11113.30,0.66,241,46.11,5,VA,Associate degree,0
M,64,Above 50,0,27496,2,11143.00,0.66,240,46.43,3,WV,High school graduate,0
